Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2022;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;D.E sanitaire;2;0;0
2022;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Pluri Langues;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Ecoles d'ingénieurs;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;BUT Production;2;2;2
2022;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;CUPGE;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence MASS;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;BTS Agricole;1;1;0
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence MASS;323;210;44
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Mathématiques et informatique;8;2;0
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences du langage - Linguistique;83;63;9
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;1507;326;265
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;3;1;1
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Sciences de l information et de la communication;40;22;2
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Sciences du langage - Linguistique;50;44;9
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Formations d'ART;80;29;9
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Autres formations;275;112;42
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Géographie;72;70;13
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques;491;304;109
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences;12;8;3
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l éducation;154;93;40
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;CUPGE;68;29;2
2022;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;52;34;3
2022;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Sciences de l univers, de la terre, de l espace;14;9;1
2022;Mathématiques Spécialité,Physique-Chimie Spécialité;Licence Informatique;7465;5451;702
2022;Mathématiques Spécialité,Physique-Chimie Spécialité;Licence Sciences juridiques;4289;3336;803
2022;Mathématiques Spécialité,Physique-Chimie Spécialité;BTS Production;4461;2825;601
2022;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;Licence STAPS;2329;1420;587
2022;Mathématiques Spécialité,Sciences de l'ingénieur et sciences physiques;BTS Service;648;318;93
2022;Numérique et Sciences Informatiques,Humanités, Littérature et Philosophie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;1;0;0
2022;Numérique et Sciences Informatiques,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2022;Numérique et Sciences Informatiques,Humanités, Littérature et Philosophie;Formations d'ART;13;6;3
2022;Numérique et Sciences Informatiques,Langues, littératures et cultures étrangères et régionales;DCG;8;2;0
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Chimie;15;10;3
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Sciences politiques;7;3;0
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence L.AS;46;22;7
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;D.E  social;4;1;1
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;DCG;4;3;0
2022;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;D.E  social;2;2;2
2022;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;CUPGE;18;3;1
2022;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;Licence Pluri Langues;1;0;0
2022;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;BUT Service;383;175;69
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Arts;28;18;3
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence LEA;19;14;4
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Psychlogie, Sciences cognitives;15;6;3
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences du langage - Linguistique;4;2;0
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence MASS;75;46;10
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Mathématiques;75;42;14
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;3;1;0
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Psychlogie, Sciences cognitives;68;29;12
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Sciences de l univers, de la terre, de l espace;0;0;0
2022;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;0;0;0
2022;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences politiques;2;0;0
2022;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences religieuses;0;0;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Langues et littératures étrangères;30;24;11
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Physique et chimie;4;0;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Sciences économiques;11;5;2
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence AES;265;187;41
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Electronique, Génie électrique, EEA;1;1;0
2024;Art,Langues, littératures et cultures étrangères et régionales;Sciences po;32;2;2
2024;Art,Mathématiques Spécialité;CPGE S;150;49;11
2024;Art,Mathématiques Spécialité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;13;9;2
2024;Art,Physique-Chimie Spécialité;Licence Electronique, Génie électrique, EEA;0;0;0
2024;Art,Sciences Economiques et Sociales Spécialité;BUT Service;590;213;92
2024;Art,Sciences Economiques et Sociales Spécialité;CUPGE;1;0;0
2024;Art,Sciences Economiques et Sociales Spécialité;Licence Génie civil;1;0;0
2024;Art,Sciences Economiques et Sociales Spécialité;Licence Sciences de l information et de la communication;274;167;37
2024;Art,Sciences de l'ingénieur et sciences physiques;Licence L.AS;8;1;0
2024;Art,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences;0;0;0
2024;Art,Sciences de la vie et de la Terre Spécialité;Formations des écoles nationales vétérinaires;6;0;0
2024;Art,Sciences de la vie et de la Terre Spécialité;Licence L.AS;564;86;31
2024;Art,Éducation physique, pratiques et culture sportives;DCG;0;0;0
2024;Art,Éducation physique, pratiques et culture sportives;Licence Génie civil;0;0;0
2024;Art,Éducation physique, pratiques et culture sportives;Licence Pluri Sciences;0;0;0
2024;Art,Éducation physique, pratiques et culture sportives;Licence Sciences de gestion;0;0;0
2024;Art,Éducation physique, pratiques et culture sportives;Licence Sciences politiques;0;0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Service;3;0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE S;0;0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Formations d'ART;1;0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence AES;0;0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;0;0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;2;0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;0;0;0
2024;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences juridiques;4;2;1
2024;Biologie/Ecologie,Mathématiques Spécialité;BTS Agricole;176;133;60
2024;Biologie/Ecologie,Mathématiques Spécialité;BTS Service;126;63;14
2024;Biologie/Ecologie,Mathématiques Spécialité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;2;1;0
2024;Biologie/Ecologie,Numérique et Sciences Informatiques;Licence Sciences de l information et de la communication;0;0;0
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Ecoles d'ingénieurs;104;72;57
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Ecoles de Commerce;19;10;8
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence AES;22;16;3
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Chimie;164;86;4
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;6;1;0
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Pluri Langues;1;1;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;CPGE ECG;1;0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Ecoles de Commerce;2;0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Génie civil;0;0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences humaines et sociales;2;1;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Sciences religieuses;0;0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Sciences po;2;0;0
2024;Biologie/Ecologie,Éducation physique, pratiques et culture sportives;Licence Pluri Sciences humaines et sociales;0;0;0
2024;Biologie/Ecologie,Éducation physique, pratiques et culture sportives;Licence Sciences politiques;1;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Ecoles de Commerce;254;115;71
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;BTS Agricole;167;81;33
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Electronique, Génie électrique, EEA;0;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques;27;7;4
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Physique et chimie;11;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences et technologies industrielles;47;22;9
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Ecoles de Commerce;11;5;3
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Langues;0;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Éducation physique, pratiques et culture sportives;Licence Langues et littératures françaises;13;8;2
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Éducation physique, pratiques et culture sportives;Licence Pluri Sciences fondamentales et applications;0;0;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Éducation physique, pratiques et culture sportives;Licence Pluri Sciences économiques - Gestion;23;8;0
2024;Histoire-Géographie, Géopolitique et Sciences politiques,Éducation physique, pratiques et culture sportives;Licence Sociologie, Démographie;24;15;1
2024;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;BUT Production;216;50;25
2024;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Formations des écoles nationales vétérinaires;0;0;0
2024;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures étrangères;5206;4647;1950
2024;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Physique;8;2;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;DEUST;7;1;1
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Arts;4;3;2
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Informatique;1;0;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence L.AS;39;6;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Pluri Lettres - Sciences du langage - Arts;1;1;0
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence STAPS;30;19;13
2024;Humanités, Littérature et Philosophie,Éducation physique, pratiques et culture sportives;Licence Sciences de la vie, biologie, santé;1;0;0
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;BUT Service;33;5;1
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;CPGE ECG;1;0;0
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;CUPGE;0;0;0
2024;Langues, littératures et cultures étrangères et régionales,Éducation physique, pratiques et culture sportives;Licence Sciences du langage - Linguistique;3;1;1
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Formation générale aux métiers de l ingénieur;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence MASS;1;0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences économiques - Gestion;2;1;0
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Licence Génie civil;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Licence Histoire;97;77;24
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Licence Pluri Langues;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;Ensemble des bacheliers;82;78;72
2024;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures étrangères;48;46;25
2024;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;Sciences po;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Mathématiques;4;3;1
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;BUT Service;5;4;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Sciences juridiques;13;10;8
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence MASS;0;0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Mathématiques;1;0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Sciences juridiques;0;0;0
2024;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Electronique, Génie électrique, EEA;1;0;0
2024;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Philosophie, Epistémologie;278;143;19
2024;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Langues;20;15;2
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;DCG;31;17;4
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Pluri Sciences fondamentales et applications;0;0;0
2024;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence L.AS;2801;308;91
2024;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Psychlogie, Sciences cognitives;578;355;130
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;CPGE L;1325;947;265
2024;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence Géographie;42;35;5
2024;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence L.AS;2275;347;101
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;CPGE S;17;2;1
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Formations des écoles nationales vétérinaires;2;0;0
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Pluri Lettres - Langues - Sciences humaines;5;1;0
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence Sciences juridiques;2355;1426;475
2024;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Ecoles de Commerce;3;2;2
2024;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Histoire;6;5;2
2024;Sciences de la vie et de la Terre Spécialité,Éducation physique, pratiques et culture sportives;BTS Production;126;46;11
2024;Sciences de la vie et de la Terre Spécialité,Éducation physique, pratiques et culture sportives;Ecoles d'ingénieurs;10;4;0
2021;Art,Art;Licence Génie civil;0;0;0
2021;Art,Art;Licence Langues et littératures étrangères;0;0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Production;106;17;5
2021;Art,Humanités, Littérature et Philosophie;Licence Langues et littératures étrangères;488;362;119
2021;Art,Langues, littératures et cultures étrangères et régionales;CPGE L;349;199;88
2021;Art,Mathématiques Spécialité;Licence Informatique;78;42;16
2021;Art,Physique-Chimie Spécialité;Licence Arts;307;240;102
2021;Art,Physique-Chimie Spécialité;Licence Psychlogie, Sciences cognitives;45;29;9
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Electronique, Génie électrique, EEA;0;0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Physique et chimie;0;0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences fondamentales et applications;0;0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;PASS;0;0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Pluri Lettres - Langues - Sciences humaines;11;6;1
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Pluri Sciences;13;5;2
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Géographie;2;2;1
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;D.E sanitaire;1;1;1
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Physique;0;0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;BTS Production;0;0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences du langage - Linguistique;0;0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences de l univers, de la terre, de l espace;57;13;1
2021;Biologie/Ecologie,Mathématiques Spécialité;D.E sanitaire;53;27;18
2021;Biologie/Ecologie,Mathématiques Spécialité;DCG;7;5;3
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences fondamentales et applications;3;0;0
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;283;254;54
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;D.E sanitaire;42;16;13
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;1;0;0
2022;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;BUT Production;664;299;133
2022;Mathématiques Spécialité,Numérique et Sciences Informatiques;Autres formations;2429;689;186
2022;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;Ensemble des bacheliers;26998;25339;22294
2022;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences économiques - Gestion;58;39;11
2022;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences politiques;125;40;13
2022;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences économiques;20;9;1
2022;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles de Commerce;21;18;12
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Mathématiques;6;2;1
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;7;5;3
2022;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Formations d'ART;25;7;4
2022;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;49;20;8
2022;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Ensemble des bacheliers;838;737;611
2022;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;Licence Sciences de l information et de la communication;41;20;2
2022;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;D.E  social;16;8;4
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence AES;10;5;0
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Electronique, Génie électrique, EEA;15;14;3
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Géographie;16;13;4
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Informatique;60;34;9
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences de l univers, de la terre, de l espace;3;2;1
2022;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;CPGE ECG;4;1;1
2022;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Physique;2212;1161;98
2022;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences fondamentales et applications;0;0;0
2022;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Licence Philosophie, Epistémologie;0;0;0
2022;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Licence Sciences de l univers, de la terre, de l espace;0;0;0
2022;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Licence Sciences politiques;1;0;0
2022;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Ecoles de Commerce;1;0;0
2022;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences fondamentales et applications;0;0;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;6;2;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Pluri Lettres - Langues - Sciences humaines;1;0;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Sciences de la vie, biologie, santé;2;1;0
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Ecoles de Commerce;5;5;2
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences humaines et sociales;40;24;5
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Autres formations;872;277;108
2022;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence Pluri Sciences humaines et sociales;14;5;0
2022;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence L.AS;980;377;129
2022;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;BTS Production;54;12;3
2022;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;D.E  social;52;21;16
2022;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence MASS;10;4;1
2022;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences humaines et sociales;23;11;1
2022;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences économiques;50;19;5
2022;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;DEUST;130;57;14
2022;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Physique;5;3;1
2022;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences de l information et de la communication;5;3;1
2023;Art,Art;CPGE ECG;0;0;0
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;BTS Service;708;252;110
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Arts;1493;1056;448
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences juridiques;653;401;211
2023;Art,Humanités, Littérature et Philosophie;Licence Sciences juridiques;409;259;100
2023;Art,Langues, littératures et cultures étrangères et régionales;Licence Pluri Lettres - Langues - Sciences humaines;257;154;28
2023;Art,Mathématiques Spécialité;Licence Langues et littératures françaises;123;72;11
2023;Art,Mathématiques Spécialité;Licence Philosophie, Epistémologie;55;30;6
2023;Art,Physique-Chimie Spécialité;CUPGE;2;1;0
2023;Art,Sciences de la vie et de la Terre Spécialité;Licence Pluri Sciences fondamentales et applications;0;0;0
2023;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Philosophie, Epistémologie;0;0;0
2023;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Génie civil;0;0;0
2023;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Formations des écoles nationales vétérinaires;0;0;0
2023;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Informatique;0;0;0
2023;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;BTS Service;4;3;1
2023;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;CPGE S;0;0;0
2023;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Formations des écoles nationales vétérinaires;0;0;0
2023;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence MASS;0;0;0
2023;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Physique;0;0;0
2023;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Ensemble des bacheliers;637;567;491
2023;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Licence Sciences religieuses;1;1;0
2023;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;CPGE L;2;1;1
2023;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Langues et littératures étrangères;14;11;4
2023;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences de l éducation;6;1;0
